,text,name,year,x,y,labels,kw,score
19, maria link consolidated statement link keyboard short cutback executive performance complexity scenario resulting epidemic characterised together integration contributed influencing trends groups main indicators,intesa,2021,9.444962,0.7809029,777,pandemic emergency impact,1.2911267094419882e-05
20,last two years extremely challenging context brought pandemic group support distressed businesses households endeavouring daily basis best meet customers,intesa,2021,9.476667,0.9485269,777,pandemic emergency impact,1.2911267094419882e-05
21,sum around billion euro allocated support production system health emergency around since start pandemic,intesa,2021,9.639506,0.91834956,777,pandemic emergency impact,1.2911267094419882e-05
22, resilience amid global pandemic ranked first second consecutive year among leading resilience amid global pandemic competition organised associazione security collaboration spike reply,intesa,2021,9.444065,0.99822205,777,pandemic emergency impact,1.2911267094419882e-05
23,groups people sent reports abroad felt topic tensions workplace often exacerbated complexities imposed pandemic,intesa,2021,9.519277,0.80085695,777,pandemic emergency impact,1.2911267094419882e-05
24, pandemic also gleaned strong growth recorded topic community support ais reflects special attention paid social issues measures aid territory challenging period many local entities families individuals,intesa,2021,9.649661,0.90494245,777,pandemic emergency impact,1.2911267094419882e-05
25,change consistent actions implemented group spread pandemic ,intesa,2021,9.527181,0.7887,777,pandemic emergency impact,1.2911267094419882e-05
26,given persistent health emergency situation group continued actions following spread virus aimed protecting health employees suppliers ensuring business continuity control risk countering social economic effects pandemic,intesa,2021,9.374205,0.7202794,777,pandemic emergency impact,1.2911267094419882e-05
27,effects pandemic groups risks continue remain limited also thanks effects measures implemented starting renewed,intesa,2021,9.519843,0.7713566,777,pandemic emergency impact,1.2911267094419882e-05
28,finally salute recorded growth compared relating progressive increase complaints policyholders number claims first pandemic phase circumstance strongly affected frequency contacts policyholders well resonance effect among policyholders attributable penalty imposed ,intesa,2021,9.558032,0.8596806,777,pandemic emergency impact,1.2911267094419882e-05
29,activities conducted corporate physical security function stop even limitations imposed pandemic continuing physically inspections analyses banks premises remotely use groups data interviews heads structures,intesa,2021,9.341172,0.75934666,777,pandemic emergency impact,1.2911267094419882e-05
30,commitment path towards new normal even within general pandemic scenario resulted activities temporarily suspended,intesa,2021,9.535949,0.86006206,777,pandemic emergency impact,1.2911267094419882e-05
31,thanks reached end initiative also extended supporting companies suffered damage following pandemic,intesa,2021,9.569193,0.9193038,777,pandemic emergency impact,1.2911267094419882e-05
32,since pandemic shouldered commitment support health services emergency overwhelming effect community areas group operates,intesa,2021,9.579538,0.9136752,777,pandemic emergency impact,1.2911267094419882e-05
33,interruption banks presence cultural production implement projects envisaged plan compliance restrictions imposed pandemic,intesa,2021,9.36419,1.087103,777,pandemic emergency impact,1.2911267094419882e-05
34, edition launched may last year height pandemic achieved ever million votes collected confirming social value event,intesa,2021,9.647238,0.8652865,777,pandemic emergency impact,1.2911267094419882e-05
35,exchange continued uninterrupted remote methods emergency providing significant contribution keeping options required face phases pandemic crisis constantly ,intesa,2021,9.414278,0.9067334,777,pandemic emergency impact,1.2911267094419882e-05
36,pandemic risk already among model business continuity guidelines,intesa,2021,9.443964,0.8834884,777,pandemic emergency impact,1.2911267094419882e-05
37, pandemic helped us focus closely improving resilience social environmental economic systems external stress including climate change,intesa,2021,9.575697,0.8989295,777,pandemic emergency impact,1.2911267094419882e-05
38,particular group confirmed commitment year actions measures protect employees customers pandemic focusing first foremost well prioritising health safety wellbeing,intesa,2021,9.227489,0.76027125,777,pandemic emergency impact,1.2911267094419882e-05
39,executive summary executive performance pandemic hit entire world,intesa,2020,9.632145,0.79144824,777,pandemic emergency impact,1.2911267094419882e-05
40, ability meet exceed goals set even incredibly difficult time professionalism people work group guaranteed safe pandemic,intesa,2020,9.410422,0.9913761,777,pandemic emergency impact,1.2911267094419882e-05
41,close attention pays monitoring security security resilience global pandemic,intesa,2020,9.506494,0.8660412,777,pandemic emergency impact,1.2911267094419882e-05
42,fact pandemic strong impact society whole,intesa,2020,9.580412,0.81593174,777,pandemic emergency impact,1.2911267094419882e-05
43,effects pandemic increased uncertainty regarding prospects economy general,intesa,2020,9.699619,0.79318184,777,pandemic emergency impact,1.2911267094419882e-05
44, support families financial social difficulty result guarantee safe pandemic euro national association alpine conditions business accelerate construction field hospital ,intesa,2020,9.689866,0.9462973,777,pandemic emergency impact,1.2911267094419882e-05
45,million euro million health area support wellbeing civil humanitarian emergencies,intesa,2020,9.611285,0.99710494,777,pandemic emergency impact,1.2911267094419882e-05
46,support innovation see page early days pandemic support provided research offering expertise human areas statistics data science,intesa,2020,9.588942,0.9767033,777,pandemic emergency impact,1.2911267094419882e-05
47, trend linked greater attention paid stakeholders issues perceived fight pandemic support social economic cohesion,intesa,2020,9.606548,0.874346,777,pandemic emergency impact,1.2911267094419882e-05
48,increase relevance also linked information needs resulting management group employees pandemic emergency,intesa,2020,9.498292,0.80228734,777,pandemic emergency impact,1.2911267094419882e-05
49,one hand variation linked impacts pandemic still strategies related initiatives implemented deal health ,intesa,2020,9.487888,0.8413697,777,pandemic emergency impact,1.2911267094419882e-05
50,following profound sudden change macroeconomic context originating pandemic well invitation communications may july adopt utmost prudence allocation bonuses pertaining particular reference group provided reduction bonus pool incentive year consequent reduction bonuses paid cluster,intesa,2020,9.6319275,0.9075432,777,pandemic emergency impact,1.2911267094419882e-05
51,reports concern operating issues also service management difficulties pandemic,intesa,2020,9.4047785,0.86343664,777,pandemic emergency impact,1.2911267094419882e-05
52,confirmation monitoring prize dedicated resilience pandemic,intesa,2020,9.598608,0.8181364,777,pandemic emergency impact,1.2911267094419882e-05
53,following pandemic customers able benefit ,intesa,2020,9.567369,0.94283473,777,pandemic emergency impact,1.2911267094419882e-05
54,entire national economy deeply affected devastating effects pandemic,intesa,2020,9.622333,0.84640527,777,pandemic emergency impact,1.2911267094419882e-05
55,support households businesses deal beginning pandemic whole bank strongly committed series give support corporate customers affected crisis occasions independently able become operative even enactment policies regulatory government,intesa,2020,9.5180435,1.0252694,777,pandemic emergency impact,1.2911267094419882e-05
56, emergency spread charity fund showed commitment support specific crisis alongside actions strictly related managing effects pandemic reformulated view changed context,intesa,2020,9.617111,0.911073,777,pandemic emergency impact,1.2911267094419882e-05
57,following spread emergency internationally banks identifying projects respective territories favour individuals made vulnerable pandemic,intesa,2020,9.504334,0.8807531,777,pandemic emergency impact,1.2911267094419882e-05
58,fact playing new role private social sector accompanied actions make effective contribution abandon anyone thus challenge posed pandemic terms paradigm shift speed adaptation provision response,intesa,2020,9.61374,0.89068323,777,pandemic emergency impact,1.2911267094419882e-05
59,initiatives combat difficult situation combating epidemic number initiatives favour businesses set spring onwards support efforts institutions showing awareness responsibility large bank take along widespread many ways unknown type emergency,intesa,2020,9.368645,0.91923577,777,pandemic emergency impact,1.2911267094419882e-05
60,march due spread virus activities related program slowed impact retail hospitality food beverage courses related job placements,intesa,2020,9.462417,0.69362473,777,pandemic emergency impact,1.2911267094419882e-05
61,pandemic confirmed position strong point reference country context contribution supporting artisticl sector though hard hit crisis seen one elements relaunch future,intesa,2020,9.528869,0.8051655,777,pandemic emergency impact,1.2911267094419882e-05
62,profound sudden change macroeconomic context originated pandemic well invitation banks adopt utmost prudence allocation bonuses pertaining particular reference top risk takers risk takers led group review resources allocated incentive systems,intesa,2020,9.657123,0.9365991,777,pandemic emergency impact,1.2911267094419882e-05
63, transformation line provisions business plan terms transition new ways taking challenges imposed pandemic projects within context transformation programme enhanced,intesa,2020,8.356794,2.3890038,777,pandemic emergency impact,1.2911267094419882e-05
64, enormous difficulties caused pandemic sector records compared fund continued guarantee health care members confirming role constant reference point health prevention,intesa,2020,9.540718,0.87347317,777,pandemic emergency impact,1.2911267094419882e-05
65,thus services offered fund exclude pandemic events screening tests,intesa,2020,9.556536,0.8782472,777,pandemic emergency impact,1.2911267094419882e-05
66, emergency profound impact activities identified new initiatives focused new aspects relation evolution pandemic,intesa,2020,9.517332,0.84791195,777,pandemic emergency impact,1.2911267094419882e-05
67,pandemic need new ways working communicating liaising internal system able respond constant supervision promptly informing employees publication news timely updating section dedicated interviews managers sending mass ,intesa,2020,9.526613,0.85617894,777,pandemic emergency impact,1.2911267094419882e-05
68,decrease fear recorded time hope trust also decreased,intesa,2020,7.365664,1.0712035,777,pandemic emergency impact,1.2911267094419882e-05
69,actions therefore taken prevent risk infection workplace also contributing prevention spread epidemic,intesa,2020,9.347261,0.7759957,777,pandemic emergency impact,1.2911267094419882e-05
70,believed current pandemic context characterised increase need diagnostic guarantee rapid response times ease management introduction rapid swab valid tool containment spread virus prove particularly speed identification positive cases among symptomatic subjects speed suspected cases close contacts,intesa,2020,9.388481,0.73137474,777,pandemic emergency impact,1.2911267094419882e-05
71,health social economic crisis caused pandemic focus closely importance improving resilience social environmental systems internal external stress including climate change,intesa,2020,9.572995,0.9040407,777,pandemic emergency impact,1.2911267094419882e-05
72,migration services scenario made even complex cloud allows us face pandemic flexible outbreak pandemic working methods risk contagion parts world,enel,2019,9.50358,0.8517637,777,pandemic emergency impact,1.2911267094419882e-05
73,combined perfectly positioned face requirements global frequency rate people current global crisis,enel,2019,9.1881,1.1576632,777,pandemic emergency impact,1.2911267094419882e-05
74, taken action deal emergency linked spread also support works,enel,2019,8.789936,0.9864672,777,pandemic emergency impact,1.2911267094419882e-05
75,line support global level ongo pandemic solidarity principle also employees ue guarantee additional benefits top insurance benefit services offered provision forms health care already used within group,enel,2019,9.554618,0.91325855,777,pandemic emergency impact,1.2911267094419882e-05
76, potential epidemic pandemic may impede carrying maintenance modernising network functioning groups activities supply chain,enel,2019,9.416362,0.9111057,777,pandemic emergency impact,1.2911267094419882e-05
77,however case prolonged pandemic delayed recovery scenario realignment occur,eni,2020,9.554849,0.85959625,777,pandemic emergency impact,1.2911267094419882e-05
78,mainly due decrease production sales sectors health emergency,eni,2020,9.470627,0.9773254,777,pandemic emergency impact,1.2911267094419882e-05
79,due global pandemic year companies taking rights benchmark judged restricted set indicators related three pillars ,eni,2020,9.514763,0.8601531,777,pandemic emergency impact,1.2911267094419882e-05
80, elements challenges outbreak triggered unprecedented shock caused pandemic human crisis affecting human development poorest vulnerable people index may suffered global financial worst setback generation world hindering progress due local towards ,eni,2020,9.514693,0.864284,777,pandemic emergency impact,1.2911267094419882e-05
81, developed simulations possible impacts address health emergency years setback pandemic multidimensional global poverty measure acute poverty developing countries,eni,2020,9.591466,0.87877923,777,pandemic emergency impact,1.2911267094419882e-05
82, developed simulations possible impacts address health emergency years setback pandemic multidimensional global poverty measure acute poverty developing countries,eni,2020,9.591506,0.89447427,777,pandemic emergency impact,1.2911267094419882e-05
83, focused attention resources effects pandemic aspects life health social economic cultural carrying targeted ely account extraordinary nature situation community found facing,tim,2020,9.571971,0.90468955,777,pandemic emergency impact,1.2911267094419882e-05
84, focused efforts making peoples lives easier pandemic,tim,2020,9.581678,0.833329,777,pandemic emergency impact,1.2911267094419882e-05
85,noted past years institutions reduced protection civil drills due pandemic,tim,2020,9.391014,0.81076,777,pandemic emergency impact,1.2911267094419882e-05
86,lastly seven emergencies managed particular reference work pandemic,tim,2020,9.328892,0.8083649,777,pandemic emergency impact,1.2911267094419882e-05
87, took account extraordinary ongoing socioeconomic context aimed impact pandemic material topics identified changing names respect emerging issues,tim,2020,9.62029,0.8517782,777,pandemic emergency impact,1.2911267094419882e-05
88,specifically three types intervention performed topic names partial change name outcome analysis brought light emerging aspects issues impacts deemed secondary full change substantial changes issue identified due structural impacts caused pandemic,tim,2020,9.546762,0.73894763,777,pandemic emergency impact,1.2911267094419882e-05
89,intervention place almost pandemic,tim,2020,9.478603,0.7997695,777,pandemic emergency impact,1.2911267094419882e-05
90,concerning management impacts pandemic immediately adopted necessary initiatives implement emergency provisions issued several phases government regions contain spread virus,tim,2020,9.441825,0.7808764,777,pandemic emergency impact,1.2911267094419882e-05
91,increase traffic combined policies contain consumption already place strengthened pandemic,tim,2020,9.493481,0.78901154,777,pandemic emergency impact,1.2911267094419882e-05
92,addition surveys structured internal communication plan developed order focus important communications avoid spread casual communications related pandemic,tim,2020,9.458619,0.91283256,777,pandemic emergency impact,1.2911267094419882e-05
93,regards external impacts pandemic staff flows company temporarily froze hiring gradually resumed selections giving priority critical unfilled positions,tim,2020,9.427254,0.879763,777,pandemic emergency impact,1.2911267094419882e-05
94,services expanded offer employees support prevention health cover pandemic,tim,2020,9.547858,0.89225554,777,pandemic emergency impact,1.2911267094419882e-05
95,first half year agreements negotiated manage pandemic crisis government measures allowed jobs maintained health workers income despite closure shops,tim,2020,9.407228,0.7682742,777,pandemic emergency impact,1.2911267094419882e-05
96,another important action ensure emergency measures protect employment pandemic,tim,2020,9.371912,0.81550896,777,pandemic emergency impact,1.2911267094419882e-05
97, pandemic emergency impact prevention protection activities changing priorities,tim,2020,9.3832655,0.7889584,777,pandemic emergency impact,1.2911267094419882e-05
98,actions reviewed ensure everyone company main health risk contagion,tim,2020,9.31176,0.7530892,777,pandemic emergency impact,1.2911267094419882e-05
99,given work programs focused adapting internal regulations regulatory review particularly view commitment comply current pandemic prompted federal government suspend review programs changed front much expected,tim,2020,9.376671,0.8154533,777,pandemic emergency impact,1.2911267094419882e-05
100,arrival pandemic much work suspended health environment work program promptly amended order provide employees third members community technical support needed deal emergency,tim,2020,9.440676,0.8777568,777,pandemic emergency impact,1.2911267094419882e-05
101, estate summer produced digital version first e respect safety families contain pandemic,tim,2020,9.47717,0.88863486,777,pandemic emergency impact,1.2911267094419882e-05
102, group social consolidated pandemic agreement top management operators created posts support initiatives implemented company addition lit stay home,tim,2020,9.4427,0.92639583,777,pandemic emergency impact,1.2911267094419882e-05
103,context pandemic order improve reliability services provided significant intensification activities aimed continuity plan management service,tim,2020,9.420022,0.9264938,777,pandemic emergency impact,1.2911267094419882e-05
104,since march also due pandemic activities reformulated within held exclusively ,tim,2020,9.611107,0.77981865,777,pandemic emergency impact,1.2911267094419882e-05
105,one challenges pandemic launched contingency plan order employees work home ensure business continuity including call centre technical areas,tim,2020,9.4368725,0.9015763,777,pandemic emergency impact,1.2911267094419882e-05
106,pandemic data rendered anonymous detected using solution available number local governments support monitoring bans force travel gatherings,tim,2020,9.565608,0.874012,777,pandemic emergency impact,1.2911267094419882e-05
107,support recovery businesses pandemic addition traditional offer included management thermal imaging cameras temperature allow safe access environments,tim,2020,9.527953,0.9180275,777,pandemic emergency impact,1.2911267094419882e-05
108, pandemic influenced partnership actions whose offices remained around six months dealing consumers promptly remotely,tim,2020,9.464545,0.8791664,777,pandemic emergency impact,1.2911267094419882e-05
109,response pandemic various communications sent suppliers inviting observe precautions prevent risk contagion spread disease adopt relations customers risk ,tim,2020,9.403803,0.8088881,777,pandemic emergency impact,1.2911267094419882e-05
110,elderly harshly impacted feeling loneliness caused measures pandemic,tim,2021,9.722375,0.8520469,777,pandemic emergency impact,1.2911267094419882e-05
111,many different ways also due limits imposed result pandemic,tim,2021,9.559518,0.8230609,777,pandemic emergency impact,1.2911267094419882e-05
112,noted past years institutions reduced protection civil drills due pandemic,tim,2021,9.3880005,0.81206745,777,pandemic emergency impact,1.2911267094419882e-05
113,based analysis institutional sources opportunity arose combine several topics result effects pandemic current context longer separate consequences,tim,2021,9.551879,0.79621285,777,pandemic emergency impact,1.2911267094419882e-05
114, drills simulate management critical events caused natural disasters civil protection events regards management impacts pandemic immediately took steps necessary fully implement provisions issued government regional authorities tranches limit virus contagion,tim,2021,9.327645,0.8287956,777,pandemic emergency impact,1.2911267094419882e-05
115,specific document dedicated setting personnel aimed preventing contagion,tim,2021,9.30862,0.7603051,777,pandemic emergency impact,1.2911267094419882e-05
116, pandemic also brought sharp transformation relations around world,tim,2021,9.6213045,0.7604973,777,pandemic emergency impact,1.2911267094419882e-05
117,pandemic process countless activities accelerated,tim,2021,9.572145,0.80149657,777,pandemic emergency impact,1.2911267094419882e-05
118,work groups set identify assess mitigate risks supplies critical products polymer pandemic period impacted problems shortages hikes well transport,tim,2021,9.441724,0.9168896,777,pandemic emergency impact,1.2911267094419882e-05
119,increase traffic combined policies already place two factors enhanced pandemic,tim,2021,9.529265,0.78209144,777,pandemic emergency impact,1.2911267094419882e-05
120,despite impacts pandemic company continued operating extremely dynamic highly competitive business context led increasing flexibility ,tim,2021,9.472047,0.95022637,777,pandemic emergency impact,1.2911267094419882e-05
121,internal developed continued prevent dissemination unstructured communications regarding pandemic also,tim,2021,9.481388,0.8545051,777,pandemic emergency impact,1.2911267094419882e-05
122, pandemic emergency impact prevention protection activities changing priorities,tim,2021,9.418201,0.8078926,777,pandemic emergency impact,1.2911267094419882e-05
123,actions reviewed ensure everyone company main health risk contagion,tim,2021,9.312038,0.75655544,777,pandemic emergency impact,1.2911267094419882e-05
124,light foregoing work programs focused adapting internal regulations legislative review notably taking account commitment comply however pandemic led federal government suspend review programs gradually resume,tim,2021,9.325668,0.7691541,777,pandemic emergency impact,1.2911267094419882e-05
125, committed tackling virus making possible everyone safety increased workability,tim,2021,9.458142,0.72805685,777,pandemic emergency impact,1.2911267094419882e-05
126,result expectations affected pandemic,tim,2021,9.621262,0.8250624,777,pandemic emergency impact,1.2911267094419882e-05
127,pandemic agreement senior management operators created posts support initiatives implemented company addition lit stay home,tim,2021,9.522884,0.9103226,777,pandemic emergency impact,1.2911267094419882e-05
128,context pandemic order improve reliability services provided significant intensification activities aimed continuity plan management service,tim,2021,9.44605,0.8928189,777,pandemic emergency impact,1.2911267094419882e-05
129,pandemic one challenges launched order allow employees work home ensure business continuity including critical technical areas,tim,2021,9.4262705,0.9193494,777,pandemic emergency impact,1.2911267094419882e-05
130,program featured new rules driving required pandemic,tim,2021,9.521449,0.8333728,777,pandemic emergency impact,1.2911267094419882e-05
131,since began pandemic influenced partnership actions whose closed consumers requests satisfied promptly remotely,tim,2021,9.44382,0.8583175,777,pandemic emergency impact,1.2911267094419882e-05
132,response pandemic various communications sent suppliers inviting observe precautions prevent risk contagion spread disease providing group statement social adopt relations customers risk contagion,tim,2021,9.390208,0.79005486,777,pandemic emergency impact,1.2911267094419882e-05
133,consistency themes may vary one year next terms type number especially particular years pandemic also involving high percentage variations categories,eni,2021,9.671724,0.8268524,777,pandemic emergency impact,1.2911267094419882e-05
134,year fact despite nevertheless cope considering general situation still period excluding pandemic reorganisation activity independently self care good level service,eni,2021,9.56362,0.88982695,777,pandemic emergency impact,1.2911267094419882e-05
135,health crisis involves us affects us personally,tim,2019,9.371134,0.9076179,777,pandemic emergency impact,1.2911267094419882e-05
136, pandemic made scenario identified brought attention complex accentuating existing inequalities group national international stakeholders within countries greater impact strategic specific questionnaire,enel,2021,9.531736,0.882063,777,pandemic emergency impact,1.2911267094419882e-05
137,addition creation last two years pandemic put strain types jobs eg,enel,2021,9.465341,0.92834914,777,pandemic emergency impact,1.2911267094419882e-05
138,end impact customers economic crisis beneficiaries option exceeded effects pandemic,enel,2021,9.651862,0.920905,777,pandemic emergency impact,1.2911267094419882e-05
139, satisfaction thanks transparency past two years pandemic accelerated timeliness information,enel,2021,9.6128235,0.81797546,777,pandemic emergency impact,1.2911267094419882e-05
140, european social partners joint everyone opportunity make active transition signed november contribution motivated work context despite global pandemic crisis adaptability thus contributing achievement versatility technological platforms made strategic objectives,enel,2021,9.582625,0.94340014,777,pandemic emergency impact,1.2911267094419882e-05
141,following caused pandemic responsibility plan company another demonstrating generation unit another time help solidarity large ,enel,2021,9.574578,0.89156187,777,pandemic emergency impact,1.2911267094419882e-05
142,though rights environment performance pandemic linked prevented ongoing improvement,enel,2021,9.539432,0.8563772,777,pandemic emergency impact,1.2911267094419882e-05
143,personnel large offices response increasingly greater effort made id pandemic,enel,2021,9.457783,0.8352129,777,pandemic emergency impact,1.2911267094419882e-05
144,result significantly impacted working methods tied pandemic,enel,2021,9.570751,0.8063219,777,pandemic emergency impact,1.2911267094419882e-05
145,measured thanks function pandemic enabled reduction emissions,enel,2021,5.1806855,6.023461,777,pandemic emergency impact,1.2911267094419882e-05
146,especially relation health emergency defines specific protocols designed spread contagion among people involved operating assets continuity service,enel,2021,9.249257,0.68510205,777,pandemic emergency impact,1.2911267094419882e-05
147,approach also allowed us develop robust actions new context pandemic given changed conditions caused restrictions restricted movement,enel,2021,9.525284,0.8648598,777,pandemic emergency impact,1.2911267094419882e-05
148,first insurance intervention support economic communities programs support food aimed providing global support cope pandemic,enel,2020,9.660015,0.9084981,777,pandemic emergency impact,1.2911267094419882e-05
149, also carried several pandemic also led increase emergency linked pandemic,enel,2020,9.581107,0.83761257,777,pandemic emergency impact,1.2911267094419882e-05
150,year want remain attentive needs citizens im retained discounts even effects pandemic,enel,2020,9.583146,0.92824644,777,pandemic emergency impact,1.2911267094419882e-05
151,addition number totems consequence pandemic,enel,2020,9.56152,0.82167166,777,pandemic emergency impact,1.2911267094419882e-05
152, using specific applications crisis resulting pandemic,enel,2020,9.526966,0.84942347,777,pandemic emergency impact,1.2911267094419882e-05
153,due pandemic demand remote medical chapter document,enel,2020,9.475518,0.79530793,777,pandemic emergency impact,1.2911267094419882e-05
154,result pandemic exceptional year highlighted increase individual responsibility people made guarantee operations continuity crisis situation community surrounds us betting company becomes supporting recruits pathway embarked cannot left behind must rather mark value time,enel,2020,9.569742,0.8998859,777,pandemic emergency impact,1.2911267094419882e-05
155,pandemic progressed profiles natural disappearance others,enel,2020,9.632553,0.7853724,777,pandemic emergency impact,1.2911267094419882e-05
156,ple care diversity management holding disseminate strategy objectives iden involved internal survey outbreak accelerator project created merged new pletified near future,enel,2020,9.551715,0.7544497,777,pandemic emergency impact,1.2911267094419882e-05
157,around direct beneficiaries thousand indirect ones given beach welcomed new context associated pandemic given people municipalities adjacent conditions caused restrictions social distancing inclusive cooking ,enel,2020,9.630174,0.8478657,777,pandemic emergency impact,1.2911267094419882e-05
158,goals result significantly impacted tied pandemic,enel,2020,9.615919,0.820458,777,pandemic emergency impact,1.2911267094419882e-05
159, responded secur march also published service impact level around dents im management policy order level dents highest impact level process reduce risk affecting availabil infrastructure acceptable level support business sustainabil report glance performance trend topic main factors guided past year also saw release rules large number secur awareness digital people policy articulad code initiatives emergency situation duct addressed people safeguard pandemic,enel,2020,9.3914,0.8242747,777,pandemic emergency impact,1.2911267094419882e-05
160, released global pandemic linked prevented requirements,enel,2020,9.617268,0.8657825,777,pandemic emergency impact,1.2911267094419882e-05
161,particular operating units also supported communities promotion informative initiatives sseminate smaller nuclei elementary cells include smallest number present donations solidarity initiatives consolidate culture good health safety technically possible separated space time,enel,2020,9.571776,0.9030805,777,pandemic emergency impact,1.2911267094419882e-05
162,view connected pandemic starting march dialogue financial community hasbeen conducted solely virtual mode,enel,2020,9.550612,0.9608883,777,pandemic emergency impact,1.2911267094419882e-05
163,reimbursement among support measures alternatives available market,enel,2017,11.553136,3.5292685,777,pandemic emergency impact,1.2911267094419882e-05
164,impact human health impact makes important contribuvironmt,enel,2017,9.339118,0.90400743,777,pandemic emergency impact,1.2911267094419882e-05
165,considered crisis due pandemic top management reviewed current relevance mega trends within following three priority clusters material mega trends strategic initiatives common group focused disclosure included report mega trends considerable relevance addressed specific business units functions mega trends monitored,generali,2021,9.476132,0.812742,777,pandemic emergency impact,1.2911267094419882e-05
166,available group group annual integrated report letter chairman group reader dear year unprecedented one pandemic greatly disrupted daily profoundly changed world,generali,2021,9.484081,0.81111383,777,pandemic emergency impact,1.2911267094419882e-05
167,faced complex scenario able react quickly decisively implementing measures enabled us reduce negative impact pandemic business solidity,generali,2021,9.557672,0.80061084,777,pandemic emergency impact,1.2911267094419882e-05
168,extraordinary initiatives launched tackle effects pandemic become permanent included investments support economy already surpassing established objective billion,generali,2021,9.631762,0.85214674,777,pandemic emergency impact,1.2911267094419882e-05
169,overall pandemic predicted caused economic damage,generali,2021,9.657585,0.8206351,777,pandemic emergency impact,1.2911267094419882e-05
170,global level pandemic continued escalate rest world starting eastern europe russia latin america united states notable exception china countries asia able spread pandemic new ,generali,2021,9.644624,0.733121,777,pandemic emergency impact,1.2911267094419882e-05
171,regard insurance sector uncertainty linked duration pandemic economic consequences terms labour market prospects increased risk aversion households making consumption cautious propensity precautionary saving,generali,2021,9.709936,0.877151,777,pandemic emergency impact,1.2911267094419882e-05
172, line substantial fall business relating travel reported due economic effects restrictions measures contain spread virus,generali,2021,9.58238,0.5890117,777,pandemic emergency impact,1.2911267094419882e-05
173,pandemic changed forecasts made beginning year asset classes,generali,2021,9.682617,0.8143043,777,pandemic emergency impact,1.2911267094419882e-05
174,pandemic may direct indirect effects life health risks underwritten ,generali,2021,9.522964,0.86249375,777,pandemic emergency impact,1.2911267094419882e-05
175,period pandemic measures taken contain activities strategic business development,generali,2021,9.500941,0.93201625,777,pandemic emergency impact,1.2911267094419882e-05
